Club,Player,Month,Year,Miles
kjh,jstro104,Jan,73,1503.67
ddf,pharv103,Jun,17,1331
frt,kline103,Apr,01,3304
der,pharv102,Sep,00,2034
swe,pterv104,Jun,69,1181
sad,mjone102,Dec,90,830.33
fed,kline103,Nov,75,3984
fed,gframe102,Nov,15,1275.33
NULL,hdaerr101,Jun,79,2574
daw,mjone102,Feb,07,662
ger,jstro104,Sep,93,2205.5
kjh,abera101,Dec,90,761.75
swe,jstro102,Jul,65,1477.67
kjh,hdaerr101,Jul,80,3110
frt,lgime101,Jun,73,972.75
faq,jstro104,Apr,86,867.25
glk,lgime101,Aug,98,1405
kjh,jstro102,Jun,97,998.5
fgn,jstro104,Mar,95,2115
gda,jline104,May,86,1338.33
hgg,pharv102,Sep,84,775
ger,dfab103,Feb,10,1597
frt,dfab103,Sep,76,1663.5
gvv,dfab103,Apr,95,808.75
der,pharv102,Feb,06,1320
gbn,lgime101,Jan,96,3365
der,gframe102,Jan,17,2236
NULL,ljone104,Dec,13,883.33
fgn,pplin102,Feb,88,4420
fgn,ljone104,Jul,79,1655
swe,lgime101,Mar,11,1336.33
frt,pplin102,Mar,66,3396
daw,dfab103,May,88,898.67
fed,lgime101,Mar,90,808.67
ddf,mjone102,Jun,87,699.33
dbe,pharv103,Jul,19,692.75
daw,mpede104,Mar,74,1017.5
gth,mpede104,May,90,2156.5
sdd,mjone103,Sep,99,3931
fed,NULL,Feb,69,1050
dar,NULL,Jun,14,821.75
fgn,jstro104,Aug,77,1145
dew,lgime103,Mar,76,2122.5
der,juooli101,Feb,97,2088
frt,abera101,Oct,65,1288.33
dbe,pharv101,Nov,09,2353
dew,abera101,Sep,86,782.75
NULL,mjone101,Mar,92,785.5
frt,lgime103,Oct,09,2326
sdd,pharv101,Jun,10,1746.5
dbe,lgime101,Jul,73,1139.25
glk,mharr102,Oct,10,1473.33
faq,mpete103,Aug,85,735.33
fed,mharr103,Feb,99,1114.5
saz,hdaerr101,Jul,80,861.67
gda,pterv104,Dec,93,4673
swe,lgime102,Aug,77,992.75
NULL,pharm101,Feb,15,2319.5
faq,mpete101,Mar,69,913.5
dbe,pharv103,Apr,87,1020.5
gda,jstro101,Feb,78,608.75
ddf,pterv104,Apr,02,1456.67
dew,mpete102,Sep,67,701
frt,jstro104,Dec,68,3975
gda,gframe102,Sep,84,2692
sdd,NULL,May,08,1621.67
sad,lsamme104,Jan,66,1160.5
gda,mjone103,Jul,80,4498
sdd,jstro101,Oct,99,738
swe,kline103,Feb,85,1118.33
gvv,mharr102,Jun,01,3673
swe,abera101,Jun,85,2200
glk,pterv104,Feb,14,3108
swe,kline101,Feb,96,2105
glk,jline104,Nov,76,1838
der,lgime102,Apr,93,1774.5
dar,pharv101,Jan,67,1048.75
saz,hyera102,Jul,18,1352.5
fgn,pharv102,May,79,1514.5
hgg,kline102,Jun,88,1537
fgn,pterv104,Jan,89,887.67
gbn,lgime101,Jun,86,4456
frt,juooli101,Oct,86,729.5
ddf,abera101,Oct,00,1143
fgn,jline104,Mar,72,2565
frt,jstro104,May,79,529.25
dew,juooli101,May,66,546.5
frt,NULL,Jan,12,1044.67
fed,mjone102,Aug,67,711.75
fgn,pharm101,Aug,66,1053
ger,jstro102,Apr,67,3476
fed,NULL,Jul,04,1064.67
sdd,jstro104,Sep,17,2254
frt,hdaerr101,Jul,92,706.25
NULL,mpete102,Jun,93,798.25
dbe,jstro104,Sep,05,1660.67
fed,lgime103,Nov,66,594
saz,mjone102,Jul,18,2371
faq,mpete102,Sep,83,3755
saz,mpede104,Mar,66,2567
gbn,dfab103,Nov,73,1458.33
swe,jstro101,Mar,09,4198
dar,kline101,Sep,11,1032.75
saz,NULL,Jan,87,3547
gbn,jstro101,Sep,75,4579
sdd,pharv102,Nov,94,1027.33
gda,lsamme104,May,95,1055
sad,mharr103,Mar,97,1696.5
ddf,kline101,Feb,71,1064.33
sdd,mharr102,Feb,19,1020.33
ger,mjone101,Aug,74,3463
gvv,kline102,Mar,07,723.33
daw,lgime102,Jul,08,771
gth,hyera102,Oct,96,1126.33
fgn,mpete103,Nov,80,615.25
gda,NULL,Oct,00,1612
sad,abera101,Jul,76,4057
sad,lsamme104,Jun,68,1087.25
saz,pharm101,Mar,69,3951
hgg,pharv103,Jun,00,975.5
sdd,pharv103,Nov,76,1277
NULL,dfab103,Mar,94,2282.5
glk,jline104,Jun,96,1148
gda,mjone103,May,09,527.5
swe,pharv102,Jul,13,1984.5
frt,lgime101,Apr,85,4482
saz,jstro104,Jul,84,1521
dew,pharv102,Oct,82,949
gbn,pharv102,Mar,95,4507
kjh,mjone102,Apr,99,2200
gda,dfab103,Mar,12,884.67
fed,hyera102,Jul,67,1940.5
kjh,jstro102,Jul,78,1003
gda,jstro102,Feb,10,537.75
sdd,jstro104,May,85,1335
dew,mjone103,Mar,04,1179
ger,kline101,Sep,89,2211
sad,pplin102,Mar,66,560
dbe,NULL,Apr,83,3889
daw,NULL,Nov,89,1776
der,mpete103,Aug,66,2510
glk,pterv104,Jun,73,602.25
faq,pterv104,Jul,77,3281
fed,lgime102,Aug,02,1244.33
kjh,mjone101,Sep,18,2285
dew,dfab103,Jan,98,3407
dar,mpete101,Jan,07,3915
glk,mjone102,Jun,87,1038
dbe,mpede104,May,69,4840
dbe,mjone103,May,64,3431
NULL,jline104,Oct,66,718
der,jline104,Jan,89,1327.5
daw,pterv104,Jul,11,2086
der,kline103,Apr,05,4812
dar,abera101,Aug,96,701
ddf,pterv104,Sep,98,1649.33
kjh,jstro104,Oct,81,1343.5
der,lgime103,Oct,98,2076
ddf,lgime101,Oct,96,597.75
dar,juooli101,Jan,17,3578
fgn,pharv103,Aug,98,2244.5
sdd,mjone103,Feb,15,3193
faq,pharv102,Apr,86,2048
ger,lgime102,Jul,19,3227
dar,gframe102,Oct,07,3274
dbe,mpete101,Apr,79,1436
faq,pharv103,Apr,14,1102
kjh,jstro102,May,10,1548.67
gth,jstro101,Oct,06,3868
NULL,dfab103,Jul,78,1478
gvv,pplin102,Sep,74,1504.5
fed,kline103,Nov,01,1578.5
dar,mpete101,Jul,87,1628
ddf,pterv104,Feb,93,1503
gth,abera101,Mar,90,1319
dar,jstro102,Jun,82,4331
der,gframe102,Jul,04,3230
fgn,mpete103,May,00,1126.33
gda,lgime102,Nov,68,1541
faq,pharv102,Oct,97,1398.5
saz,mharr103,May,88,3621
fgn,jstro104,Apr,81,3000
gda,pharv102,Apr,92,735
sdd,jstro101,Dec,95,1298.33
ddf,kline102,Dec,16,1873
gvv,pharv102,May,71,1363.33
swe,mjone103,Jul,67,1047.33
ddf,mpete102,Jan,72,965.67
faq,mjone103,Nov,84,2197
dbe,jline104,Sep,68,2654
hgg,mpete101,Dec,77,1059.25
faq,mharr101,Oct,19,1728
sad,pharv101,Nov,01,2113
glk,mjone101,Apr,68,538.5
frt,pharv102,Dec,84,984.5
gda,mpete101,Nov,86,1638.5
ger,mharr101,Apr,96,2548
sad,mpete101,Dec,70,635.5
gvv,mpede104,Oct,71,2390
NULL,jline104,Apr,65,2074
gvv,hdaerr101,Mar,95,1252.5
NULL,juooli101,May,05,1176.67
sdd,jstro102,Dec,16,934.25
saz,jstro101,Jun,92,779.25
sad,ljone104,Apr,18,1505.67
dar,kline101,Jul,74,4190
gvv,dfab103,Sep,15,2303
hgg,pharm101,Aug,82,528
hgg,jstro102,Jan,80,812.75
gvv,jstro102,Oct,97,1750
ger,juooli101,Mar,16,1138.5
daw,mharr101,Sep,97,3388
NULL,mjone101,Feb,73,2899
gth,jstro102,Feb,10,604.25
der,mharr101,Mar,04,1618
gda,juooli101,Aug,64,2950
gth,lsamme104,Dec,68,716
der,pharv102,Mar,98,1019
swe,mharr102,May,06,1451
gth,hyera102,Feb,98,1204.25
gda,mjone101,Dec,78,753.67
NULL,pharv102,Jan,08,1931.5
kjh,lgime102,Jan,07,1604
hgg,abera101,May,75,1588.5
fed,lgime101,Jul,90,2454
gbn,jstro102,Mar,66,2966
gvv,jstro102,Nov,83,842.67
gbn,juooli101,Jun,11,720
sad,mharr102,Dec,82,502.75
sad,lgime101,Oct,04,502
der,lgime102,Sep,79,1827.5
dar,jline104,Aug,73,1110
daw,lgime101,Aug,11,1569
gda,lgime102,Aug,16,1561.33
sdd,mpete103,Feb,80,3588
gth,jstro104,Jul,80,1358.33
dar,juooli101,Jul,75,1235
gda,jstro102,Sep,64,935
NULL,jstro102,Feb,82,812.67
fed,NULL,Aug,97,507.25
fgn,pharv101,Jan,84,827.33
daw,mpede104,Feb,95,2944
ger,mpete101,Jul,81,518.5
sad,jstro101,Jul,64,1058.5
dbe,mpete102,Oct,99,3752
kjh,mharr103,Mar,06,892.25
fgn,NULL,May,15,1021.67
ddf,pplin102,Mar,05,4023
ddf,kline102,Oct,94,1183.25
frt,mharr102,Nov,70,734.5
fgn,NULL,Jun,78,721
dew,pharm101,Apr,96,1765.5
faq,jstro102,Apr,02,3033
sdd,NULL,Aug,01,3710
glk,mpete102,Oct,09,2831
faq,kline101,Feb,77,751.5
gbn,jstro104,Feb,12,2255
gth,jline104,Jan,12,1526.33
dar,mharr103,Jan,70,842.33
hgg,pharv102,Jan,19,1496.33
swe,NULL,Jul,14,1678
der,jstro104,Nov,19,1435.33
der,mpete103,Mar,04,786.33
daw,dfab103,Mar,90,1173
fed,ljone104,Jun,17,1209.75
swe,pharv102,Feb,17,1529.5
glk,hdaerr101,Jun,87,4552
gda,kline102,Jul,16,1438
fgn,hdaerr101,Apr,81,2052.5
der,mpete103,Apr,67,1246
ger,mharr103,Jan,12,1126
gda,mpete101,Jun,76,3755
dar,ljone104,Jun,01,3811
gda,kline102,May,69,861
glk,dfab103,Aug,05,1166
ddf,hyera102,Nov,84,2195
ddf,NULL,Aug,81,1599.67
dew,NULL,Feb,85,526
gda,mpede104,Dec,18,4077
gbn,jstro102,Nov,77,1149.33
glk,lsamme104,Jun,75,1382
swe,pharv102,Jul,08,2743
swe,abera101,May,89,1232.25
glk,mharr102,Nov,90,2024
swe,hyera102,Mar,95,754.5
faq,jstro102,Sep,66,528
gth,pplin102,Jan,80,1017
NULL,mpete101,Nov,96,826.33
dbe,mpete101,Apr,69,2928
kjh,pharv102,Feb,18,3972
dbe,mjone103,Oct,68,987.5
fgn,jstro102,Jun,19,4809
gda,dfab103,Nov,69,1130.75
gth,jline104,Nov,69,1657
faq,mpete103,Jan,18,1941
frt,jstro102,Apr,79,971.33
gbn,hyera102,Aug,88,4640
sad,lgime101,Jan,72,1019.5
fed,lgime101,Jan,10,1013.75
faq,ljone104,Nov,73,4646
frt,abera101,Aug,88,1180
dbe,jstro102,May,76,1008.33
gth,mpede104,Dec,64,2650
kjh,ljone104,Mar,13,1130.5
gvv,pplin102,Jul,99,1583
gvv,pharv102,May,85,967.5
sad,jstro102,Jul,04,1394.5
glk,NULL,Apr,14,932.75
dbe,pterv104,Dec,99,4188
ddf,jstro104,Jan,15,771.33
frt,jstro102,Oct,16,1467.33
ddf,mjone101,Feb,76,2962
gth,NULL,Jul,97,1284
gbn,hyera102,Oct,83,2110.5
swe,mpete103,May,17,635.25
fed,mjone103,Feb,17,923.5
gth,jstro104,Mar,06,1107
gda,mjone103,Jun,97,3548
ger,pharv103,May,74,927
der,pharv101,Jun,94,4904
sdd,jstro104,May,15,851.67
ddf,jstro102,Aug,64,557.5
dbe,lgime101,Nov,74,2552
faq,jstro102,Oct,67,1625
gda,NULL,Feb,66,2378
gth,hdaerr101,Jul,10,3653
gvv,mharr101,Nov,88,2804
hgg,jstro104,May,97,1967
sad,mpete102,Jun,19,1261
hgg,pterv104,Jun,12,1459.33
gda,mjone101,Aug,86,2501
frt,mharr101,Dec,02,756.25
sad,hdaerr101,Nov,67,3900
faq,lgime101,Sep,14,1116
ger,jstro101,Mar,85,1061.67
dew,mjone101,Oct,87,2756
swe,NULL,Jun,99,1565
sad,mharr103,Jan,64,1410.67
glk,jstro102,Sep,79,1177.33
sdd,pplin102,Oct,00,2614
sdd,jstro104,Jan,09,3657
glk,ljone104,Nov,04,2196
gvv,gframe102,Jun,12,720.33
glk,kline102,Oct,80,3784
dew,pharv102,Nov,98,1116
gbn,lsamme104,Jun,83,1433.33
gda,kline103,Oct,73,832.75
faq,pharv102,Mar,76,2478
sad,hyera102,Dec,13,688.75
saz,hdaerr101,Sep,76,988.5
glk,mharr103,May,08,3169
sdd,jstro101,Apr,00,2269
glk,jstro104,May,17,1136.25
faq,pharm101,Jul,93,640.25
gth,mpete103,Jul,04,978.5
daw,pterv104,Apr,18,841.67
NULL,dfab103,Feb,81,3355
gth,mjone102,Jun,87,1533
saz,pharv102,Apr,70,2218.5
daw,mpete101,Dec,92,1221.25
dew,pharm101,Nov,87,1217.75
gth,hyera102,Mar,98,1499
glk,juooli101,Jun,05,555
ger,lsamme104,Apr,76,4035
sad,jstro101,Jul,70,4893
der,mjone101,Jun,94,2156.5
sdd,mpete103,Jun,87,2019
saz,pharv103,Oct,69,4155
sdd,pterv104,Sep,64,924.5
glk,mpete101,Mar,93,637.25
swe,pplin102,Jul,81,4933
swe,mjone101,Jun,19,2080
ger,pterv104,Feb,18,3237
kjh,jline104,Jan,81,4396
NULL,NULL,Jul,94,1576
sdd,lgime102,Jun,86,4008
dbe,jstro102,Nov,01,1648
NULL,lgime101,Jul,74,970.67
fgn,pharv102,Jun,02,1174.5
gda,juooli101,Apr,71,1693.5
sad,lgime101,Apr,74,4260
NULL,pterv104,Nov,78,3068
dew,mharr101,Sep,14,1653
saz,NULL,Nov,76,1847
frt,lgime101,Feb,84,1157.5
fed,NULL,Mar,12,858.67
ger,juooli101,Dec,90,1681
ger,mjone101,Aug,69,602
dew,pterv104,Jul,07,803.25
der,jstro104,Sep,01,994.67
saz,hdaerr101,May,65,1217.25
der,kline101,Feb,65,2828
kjh,jline104,Oct,68,1752
dew,kline102,Jun,69,1049.75
kjh,kline102,Dec,70,1003.5
NULL,pharv102,Dec,87,1154
dew,jstro101,Apr,72,3085
faq,mharr101,Jul,99,1143
saz,kline102,Mar,80,768.25
ger,kline102,Jan,76,883
sdd,jstro102,Aug,71,748
swe,mjone101,Aug,07,1683
daw,mjone101,Feb,65,1260
daw,mpete103,Aug,14,747.33
kjh,jline104,Jun,82,1227.33
der,jstro102,Jul,10,3650
faq,hyera102,Jan,71,2099.5
sdd,hyera102,Nov,16,4646
faq,jstro102,Sep,08,1415
sad,mjone101,Jul,76,3535
der,jstro102,Jan,95,2993
gda,juooli101,Dec,95,1335
dew,hyera102,Jul,11,1155
sad,hyera102,Feb,19,1872
fed,NULL,Mar,95,2340.5
saz,mjone102,Dec,05,2199
swe,pharv103,Oct,15,2640
sad,pplin102,Jun,68,1511.5
dbe,mjone101,May,76,4567
ddf,pharv101,Apr,05,617.5
glk,gframe102,Feb,12,601
glk,pharv102,Jun,90,4261
faq,jline104,Nov,67,1074.33
hgg,mharr102,Jan,75,818
ddf,pharv102,Jul,91,1389.67
sad,lgime102,Feb,92,642.25
dar,NULL,Mar,08,1145.5
fgn,mpete102,Jan,84,880.25
ddf,mpete102,Feb,06,800.33
glk,NULL,Feb,19,1569.33
dew,mpete101,Oct,04,2155.5
sdd,juooli101,Apr,02,949.25
saz,hdaerr101,Apr,97,2164
ger,pharm101,Jul,16,1493
faq,mpete103,Oct,83,1215
swe,pharm101,Feb,00,1132.5
ddf,pharm101,Feb,95,727.25
dar,pterv104,Nov,05,2740
kjh,jstro102,Nov,90,1359.33
dbe,mpede104,May,06,4874
faq,pterv104,Jan,75,1710
ddf,lgime103,Oct,70,593.5
gvv,jstro102,Mar,14,1349.5
gda,hdaerr101,Mar,82,2051.5
ddf,jline104,Dec,91,749
fgn,mpede104,May,76,1291.5
gvv,hyera102,Apr,88,1395
NULL,hyera102,Aug,73,1574
swe,mpete103,May,98,1028.25
saz,lgime103,Dec,75,1500.33
fed,lgime101,Feb,87,2232.5
gda,pharv101,Jul,69,974.25
frt,jstro102,Oct,77,1179.5
kjh,mpete103,Feb,92,812.67
dew,pharv103,Mar,71,1765.5
ddf,mpete103,Nov,88,1573
kjh,pplin102,Nov,89,4868
dar,jstro102,Aug,17,1532
dbe,jstro101,Oct,98,4538
NULL,ljone104,Sep,68,4220
hgg,gframe102,Aug,99,2953
gvv,kline101,Sep,16,4221
frt,mharr101,Apr,99,1086.75
dbe,lgime103,Sep,81,1696
saz,gframe102,Mar,06,1433.67
ger,gframe102,Apr,75,1386.67
glk,pharv103,Dec,19,2314
gth,jstro101,Jun,80,1471.33
gda,jstro104,Mar,68,4673
saz,gframe102,Feb,17,1086.75
dar,mjone102,May,84,1477.5
frt,pharv102,Feb,92,4059
saz,ljone104,Feb,99,1428.5
ddf,gframe102,Feb,97,932
gth,pharv101,Mar,93,1669.5
glk,gframe102,Jan,13,986
saz,jstro102,Dec,03,3352
kjh,dfab103,Dec,70,3183
dew,juooli101,Jul,71,2464
daw,kline101,May,07,4851
swe,jstro104,Mar,77,1759
der,juooli101,Nov,75,2745
sdd,mharr101,Jun,18,2045
saz,lgime102,Jun,07,1485
ddf,jstro102,Jul,89,1425.33
frt,pharv102,Jul,69,836.67
faq,pterv104,Nov,64,1390.33
saz,lgime102,Nov,92,1098.25
dew,mpede104,Sep,71,1857.5
dew,jstro102,Jul,18,1018.5
swe,mharr103,Sep,64,1180.75
hgg,pharv101,Apr,66,3763
NULL,lsamme104,Feb,07,1984.5
ddf,jstro102,Sep,79,599
dew,hyera102,Aug,12,646
sdd,mpete102,Jul,14,2134
glk,kline101,Sep,96,1427
sdd,mpete101,Jan,78,1332.33
sad,mharr101,Aug,00,1023.33
hgg,mjone101,Feb,96,1000.33
fed,lgime102,Mar,17,3824
ddf,lgime102,Oct,16,1220
sdd,lgime102,Aug,93,4951
sad,mpete102,Apr,96,1228.75
ddf,jstro102,Mar,19,804
gth,dfab103,Dec,08,2106
sad,dfab103,Jan,90,4559
sad,pterv104,Feb,00,1183.75
ddf,NULL,Jul,71,3294
NULL,pharv102,Dec,92,1648.67
der,lsamme104,Jan,68,2972
sdd,jstro104,Apr,06,2420.5
glk,pharv103,May,90,3850
daw,mpete101,Feb,71,1247
swe,pterv104,Oct,68,4608
dbe,mharr103,Dec,94,1065
kjh,kline103,Aug,97,3167
kjh,pplin102,Sep,97,1220
gvv,pharv103,Jun,67,992.75
ger,kline101,Mar,64,1342
frt,pplin102,Sep,16,3455
fed,kline103,Aug,14,718.25
gth,mharr103,Jan,02,2070
dar,mjone101,Apr,16,2812
frt,jstro102,Aug,66,1172.67
saz,pterv104,Mar,87,1960.5
ddf,gframe102,May,89,2116.5
faq,jline104,Feb,84,1245.5
ddf,kline102,Dec,69,4787
gth,pharv103,Sep,01,4137
ddf,jstro102,Apr,71,2153.5
gvv,jstro102,Mar,67,1509.67
glk,pplin102,Aug,84,1642.5
saz,pterv104,Feb,81,3293
gbn,pterv104,Apr,18,1027
dbe,mharr102,Apr,02,1218
hgg,mpete103,Dec,71,1193.33
faq,hdaerr101,Jun,94,755
dbe,mpede104,Apr,77,1165.5
saz,mjone101,Jan,12,1070.25
ger,hyera102,Feb,96,1707
fed,jstro102,Nov,08,849.75
der,mpede104,Aug,84,1327
glk,jstro101,Dec,95,911.25
sdd,lgime102,Nov,96,3267
glk,kline101,Apr,10,1862
kjh,jstro104,Feb,91,3640
ddf,mpede104,May,84,2166
gth,lgime101,May,13,1116.67
dar,pharv102,Sep,04,782.75
swe,jstro102,Sep,14,1482
fgn,hdaerr101,Feb,79,1732.5
frt,gframe102,Jul,91,1433.67
gbn,jstro102,Jul,87,3312
hgg,mharr101,Feb,02,4943
gvv,gframe102,Jun,86,1535
kjh,mharr102,Jan,92,3210
dbe,mpete102,Jun,06,3217
der,lgime103,Jan,01,2670
glk,hyera102,Sep,98,3755
gda,jline104,Feb,19,3710
fgn,lgime102,Jan,67,1659
ddf,pharv102,May,15,4316
ger,mharr103,Aug,08,4616
gth,NULL,May,74,4753
saz,kline102,May,13,1086.33
kjh,kline103,Sep,06,803
frt,lgime101,May,80,1100.75
hgg,lgime101,Jul,91,730
daw,hdaerr101,Sep,65,3968
faq,mharr103,Dec,96,2413
ger,jstro104,May,65,2749
dew,lgime103,Nov,81,1336
fed,mjone101,May,05,857.33
glk,mjone102,Jan,68,1113.5
gbn,mpete102,Sep,18,1433.33
daw,abera101,Mar,69,1211
dbe,lgime103,May,19,819.33
gvv,pharv102,May,81,1462.33
dar,dfab103,Nov,92,783.75
frt,gframe102,Jul,04,1193.5
hgg,kline103,Aug,18,1206.33
gvv,mharr103,Sep,73,1981.5
sad,lgime101,Jul,75,1118
hgg,mpete101,Jun,94,1649.5
ddf,mharr102,Apr,99,943.67
dar,pharv101,Jan,09,858.67
glk,hdaerr101,Aug,14,4525
dew,NULL,Jan,11,2586
glk,pharv102,Feb,17,828
dew,lgime103,Sep,75,3233
fgn,lgime101,Aug,88,1722
gda,mjone103,Sep,66,2410
dbe,lgime102,Jun,78,535
ger,kline101,Jun,78,1046.75
glk,pharv101,Dec,04,2075.5
daw,ljone104,Oct,94,1308
sad,juooli101,May,67,1097.33
kjh,pterv104,Jun,92,761.25
glk,pterv104,Apr,02,1446.5
saz,dfab103,Aug,92,1046
dbe,kline103,Jul,14,3080
fed,pplin102,Aug,11,2192
swe,jstro102,Sep,03,787.75
daw,kline101,Oct,10,809.5
dbe,abera101,Apr,95,4931
kjh,jstro102,Oct,05,954.5
sad,NULL,Jun,94,1753
kjh,pplin102,May,70,3478
glk,pharv101,Sep,71,704.5
gbn,hdaerr101,Feb,76,2219
gbn,pharv102,Sep,17,1204.67
gvv,jstro102,Nov,89,1249.75
dar,jline104,May,99,2029
sdd,mjone102,Apr,92,1018.25
frt,pharv102,Nov,08,934.33
gvv,mpete103,Mar,03,1196.25
gth,mjone102,May,86,2281
swe,pharv103,Apr,72,1583
dar,mpete101,Sep,79,1579.5
saz,pharm101,Feb,19,4216
fed,mharr103,Oct,08,1529
hgg,mpete101,Oct,17,2429
kjh,jstro102,Feb,92,3600
sad,mharr103,May,66,3699
dew,jstro104,Apr,75,762.75
swe,jstro102,Apr,99,3318
gda,lsamme104,Sep,81,1202.5
ger,mharr102,Dec,71,3982
fed,juooli101,Dec,00,3385
NULL,NULL,Aug,72,1131.33
ddf,jline104,Mar,05,667.67
sad,jstro104,May,13,1123
sdd,pplin102,Oct,96,4977
NULL,kline102,Feb,72,993.67
kjh,mpede104,Aug,12,665
frt,abera101,Oct,92,1805
gvv,mharr101,Jun,89,717
ddf,NULL,Feb,80,912
gth,jstro102,Jan,94,3632
dew,jstro102,Feb,94,2316
dbe,mpete101,Dec,96,1573
fgn,hdaerr101,Apr,85,656
sad,NULL,Apr,69,1218.25
dar,abera101,Apr,97,611.5
dew,hdaerr101,Jun,90,1568.5
sdd,kline102,Apr,69,4182
dar,mharr101,Nov,74,1071.5
hgg,kline101,Sep,69,776.25
frt,mpete101,Oct,70,4534
gvv,pharv102,Sep,16,1901.5
fed,mjone103,Dec,96,957
sad,mjone102,Nov,11,679.67
glk,pharv102,Apr,18,2557
swe,mjone103,Jul,96,1646
dew,pterv104,Jan,94,2121
dar,mjone103,Oct,98,2356
sdd,mharr101,Apr,93,2185
hgg,mjone101,May,68,1323
kjh,lgime101,Dec,78,1157.5
saz,mharr102,Apr,74,1227.33
dar,pharv102,Jul,98,1892
hgg,jstro104,Jul,94,947.25
gbn,dfab103,Aug,95,1549.5
ddf,abera101,Feb,03,1559.67
fgn,mjone102,Aug,04,2378
der,gframe102,Nov,00,1042.5
dew,mpete103,Sep,93,1325.5
saz,mpete103,Apr,99,1654
ger,hyera102,Nov,68,759.33
frt,mjone101,Feb,07,3563
sad,dfab103,Feb,14,2854
daw,kline103,Mar,90,655
swe,NULL,Apr,07,1427.5
saz,lgime103,May,15,877.67
dew,kline102,Feb,82,1133.25
glk,hyera102,Apr,67,1657
gbn,juooli101,Jun,80,1237.25
faq,lgime101,Apr,66,750.67
dbe,pharv102,Jun,10,680.75
dar,mpete102,Mar,80,1045.75
saz,mharr101,Jul,08,930.75
sdd,lgime102,Jan,94,1468.33
fgn,gframe102,Feb,06,845
gda,jstro102,Oct,80,2969
NULL,kline101,Apr,65,1658.67
ger,hyera102,May,66,967.5
frt,mpete102,Feb,01,1245.33
fgn,pharv102,Apr,13,845.5
